table,key,series,model,basis,file_price,file_source,estimate,margin_pct,list_inr,dealer_inr,lead_time_days,cavities,rubber_kg,rubber_cost,moulding,metal_kg,hardware,mould_cost,mould_amort,unit_cost,note
shock_absorbers,AC86,AC,AC-8-6,file,1680,product_list:market,1680,0.0,1700,1400,21,,,,,,,,,,"stroke 6 mm, Fs 417 N"
shock_absorbers,AC105,AC,AC-10-5,file,1440,product_list:b2b,1441,0.0,1450,1200,21,,,,,,,,,,"stroke 5 mm, Fs 750 N"
shock_absorbers,AC108,AC,AC-10-8,file,1500,product_list:market,1499,0.0,1500,1200,21,,,,,,,,,,"stroke 8 mm, Fs 625 N"
shock_absorbers,AC1210,AC,AC-12-10,file,1320,product_list:b2b,1320,0.0,1350,1100,21,,,,,,,,,,"stroke 10 mm, Fs 625 N"
shock_absorbers,AC1410,AC,AC-14-10,file,980,product_list:market,893,0.0,1000,800,21,,,,,,,,,,"stroke 10 mm, Fs 625 N"
shock_absorbers,AC1412,AC,AC-14-12,file,1320,product_list:b2b,1463,0.0,1350,1100,21,,,,,,,,,,"stroke 12 mm, Fs 1562 N"
shock_absorbers,AC1613,AC,AC-16-13,file,1800,product_list:market,1800,0.0,1800,1450,21,,,,,,,,,,"stroke 13 mm, Fs 1635 N"
shock_absorbers,AC2020,AC,AC-20-20,file,3456,product_list:b2b,2917,0.0,3500,2800,21,,,,,,,,,,"stroke 20 mm, Fs 1562 N"
shock_absorbers,AC2220,AC,AC-22-20,file,2765,product_list:market,2765,0.0,2800,2250,21,,,,,,,,,,"stroke 20 mm, Fs 1562 N"
shock_absorbers,AC2050,AC,AC-20-50,model,,,3669,25.0,4600,3700,21,,,,,,,,,,"stroke 50 mm, Fs 1500 N"
shock_absorbers,AC2525,AC,AC-25-25,file,4300,product_list:market,4624,0.0,4300,3450,21,,,,,,,,,,"stroke 25 mm, Fs 4250 N"
shock_absorbers,AC2625,AC,AC-26-25,file,4700,product_list:b2b,4700,0.0,4700,3800,21,,,,,,,,,,"stroke 25 mm, Fs 4250 N"
shock_absorbers,AC3025,AC,AC-30-25,file,4600,product_list:market,4412,0.0,4600,3700,21,,,,,,,,,,"stroke 25 mm, Fs 6000 N"
shock_absorbers,AC3325,AC,AC-33-25,file,5000,product_list:market,4612,0.0,5000,4000,21,,,,,,,,,,"stroke 25 mm, Fs 6000 N"
shock_absorbers,AC3625,AC,AC-36-25,file,4800,product_list:market,4877,0.0,4800,3850,21,,,,,,,,,,"stroke 25 mm, Fs 6000 N"
shock_absorbers,AC3725,AC,AC-37-25,file,5200,product_list:market,5200,0.0,5200,4200,21,,,,,,,,,,"stroke 25 mm, Fs 6000 N"
