code,name,hsn,gst_rate,uom,price_inr,lead_time_days,status,note
TSC-15,Hydraulic feed-rate controller TSC-15,84879000,18,NOS,6150,21,active,product list / TSC pdf
TSC-25,"Hydraulic feed-rate controller TSC-25, stroke 30",84879000,18,NOS,6600,21,active,product list / TSC pdf
TSC-50,"Hydraulic feed-rate controller TSC-50, stroke 60",84879000,18,NOS,9850,21,active,product list / TSC pdf
TSC-75,"Hydraulic feed-rate controller TSC-75, stroke 80",84879000,18,NOS,14400,21,active,product list / TSC pdf
TSC-100,"Hydraulic feed-rate controller TSC-100, stroke 100",84879000,18,NOS,16700,21,active,product list / TSC pdf
ACWRI-40-10,Compact wire rope isolator ACWRI 40-10,84879000,18,NOS,3100,21,active,product list / TSC pdf
HHSS20,Half-helical wire rope isolator HHSS20,84879000,18,NOS,16500,21,active,product list / TSC pdf
VIBSOL-45W,Vibsol 45 W rubber isolator,84879000,18,NOS,30000,21,active,product list / TSC pdf
SH-500,SH 500 rubber vibration isolator,84879000,18,NOS,25000,21,active,product list / TSC pdf
AVM-530603,Diamond shaped anti-vibration mount 530603,84879000,18,NOS,450,21,active,product list / TSC pdf
AVM-20x15-M8,"Anti-vibration mount, bilateral bolt 20x15 M8",84879000,18,NOS,450,21,active,product list / TSC pdf
AVM-12x10-M5,"Anti-vibration mount, bilateral bolt 12x10 M5",84879000,18,NOS,450,21,active,product list / TSC pdf
EM125140M,Evidgom EM125140M mount,84879000,18,NOS,16200,21,active,product list / TSC pdf
KP-125-800,Hydraulic buffer KP 125-800,84879000,18,NOS,69400,21,active,product list / TSC pdf
