source,family,model,stroke_mm,energy_per_cycle_nm,energy_per_hour_nm,eff_mass_min_kg,eff_mass_max_kg,max_force_n,thread,body_dia_mm,length_mm,weight_kg,damping_type,temp_min_c,temp_max_c,notes
ACE Main Catalog 2018 metric p.102-103,CA2-CA4 heavy duty self-compensating,CA2X2-1,50,3600,1100000,700,2200,,,,313,12.8,self-compensating,-12,66,heavy duty self-compensating; eff. weight code -1; E4 with air/oil tank 1350000 Nm/h; return force 210-285 N; return time 0.25 s; side load 3 deg; impact velocity 0.3-5 m/s; length = A max; bore size 2 inch
ACE Main Catalog 2018 metric p.102-103,CA2-CA4 heavy duty self-compensating,CA2X2-2,50,3600,1100000,1800,5400,,,,313,12.8,self-compensating,-12,66,heavy duty self-compensating; eff. weight code -2; E4 with air/oil tank 1350000 Nm/h; return force 210-285 N; return time 0.25 s; side load 3 deg; impact velocity 0.3-5 m/s; length = A max; bore size 2 inch
ACE Main Catalog 2018 metric p.102-103,CA2-CA4 heavy duty self-compensating,CA2X2-3,50,3600,1100000,4500,13600,,,,313,12.8,self-compensating,-12,66,heavy duty self-compensating; eff. weight code -3; E4 with air/oil tank 1350000 Nm/h; return force 210-285 N; return time 0.25 s; side load 3 deg; impact velocity 0.3-5 m/s; length = A max; bore size 2 inch
ACE Main Catalog 2018 metric p.102-103,CA2-CA4 heavy duty self-compensating,CA2X2-4,50,3600,1100000,11300,34000,,,,313,12.8,self-compensating,-12,66,heavy duty self-compensating; eff. weight code -4; E4 with air/oil tank 1350000 Nm/h; return force 210-285 N; return time 0.25 s; side load 3 deg; impact velocity 0.3-5 m/s; length = A max; bore size 2 inch
ACE Main Catalog 2018 metric p.102-103,CA2-CA4 heavy duty self-compensating,CA2X4-1,102,7200,1350000,1400,4400,,,,414,14.8,self-compensating,-12,66,heavy duty self-compensating; eff. weight code -1; E4 with air/oil tank 1700000 Nm/h; return force 150-285 N; return time 0.50 s; side load 3 deg; impact velocity 0.3-5 m/s; length = A max; bore size 2 inch
ACE Main Catalog 2018 metric p.102-103,CA2-CA4 heavy duty self-compensating,CA2X4-2,102,7200,1350000,3600,11000,,,,414,14.8,self-compensating,-12,66,heavy duty self-compensating; eff. weight code -2; E4 with air/oil tank 1700000 Nm/h; return force 150-285 N; return time 0.50 s; side load 3 deg; impact velocity 0.3-5 m/s; length = A max; bore size 2 inch
ACE Main Catalog 2018 metric p.102-103,CA2-CA4 heavy duty self-compensating,CA2X4-3,102,7200,1350000,9100,27200,,,,414,14.8,self-compensating,-12,66,heavy duty self-compensating; eff. weight code -3; E4 with air/oil tank 1700000 Nm/h; return force 150-285 N; return time 0.50 s; side load 3 deg; impact velocity 0.3-5 m/s; length = A max; bore size 2 inch
ACE Main Catalog 2018 metric p.102-103,CA2-CA4 heavy duty self-compensating,CA2X4-4,102,7200,1350000,22600,68000,,,,414,14.8,self-compensating,-12,66,heavy duty self-compensating; eff. weight code -4; E4 with air/oil tank 1700000 Nm/h; return force 150-285 N; return time 0.50 s; side load 3 deg; impact velocity 0.3-5 m/s; length = A max; bore size 2 inch
ACE Main Catalog 2018 metric p.102-103,CA2-CA4 heavy duty self-compensating,CA2X6-1,152,10800,1600000,2200,6500,,,,516,16.9,self-compensating,-12,66,heavy duty self-compensating; eff. weight code -1; E4 with air/oil tank 2000000 Nm/h; return force 150-400 N; return time 0.60 s; side load 3 deg; impact velocity 0.3-5 m/s; length = A max; bore size 2 inch
ACE Main Catalog 2018 metric p.102-103,CA2-CA4 heavy duty self-compensating,CA2X6-2,152,10800,1600000,5400,16300,,,,516,16.9,self-compensating,-12,66,heavy duty self-compensating; eff. weight code -2; E4 with air/oil tank 2000000 Nm/h; return force 150-400 N; return time 0.60 s; side load 3 deg; impact velocity 0.3-5 m/s; length = A max; bore size 2 inch
ACE Main Catalog 2018 metric p.102-103,CA2-CA4 heavy duty self-compensating,CA2X6-3,152,10800,1600000,13600,40800,,,,516,16.9,self-compensating,-12,66,heavy duty self-compensating; eff. weight code -3; E4 with air/oil tank 2000000 Nm/h; return force 150-400 N; return time 0.60 s; side load 3 deg; impact velocity 0.3-5 m/s; length = A max; bore size 2 inch
ACE Main Catalog 2018 metric p.102-103,CA2-CA4 heavy duty self-compensating,CA2X6-4,152,10800,1600000,34000,102000,,,,516,16.9,self-compensating,-12,66,heavy duty self-compensating; eff. weight code -4; E4 with air/oil tank 2000000 Nm/h; return force 150-400 N; return time 0.60 s; side load 3 deg; impact velocity 0.3-5 m/s; length = A max; bore size 2 inch
ACE Main Catalog 2018 metric p.102-103,CA2-CA4 heavy duty self-compensating,CA2X8-1,203,14500,1900000,2900,8700,,,,643,19.3,self-compensating,-12,66,heavy duty self-compensating; eff. weight code -1; E4 with air/oil tank 2400000 Nm/h; return force 230-650 N; return time 0.70 s; side load 3 deg; impact velocity 0.3-5 m/s; length = A max; bore size 2 inch
ACE Main Catalog 2018 metric p.102-103,CA2-CA4 heavy duty self-compensating,CA2X8-2,203,14500,1900000,7200,21700,,,,643,19.3,self-compensating,-12,66,heavy duty self-compensating; eff. weight code -2; E4 with air/oil tank 2400000 Nm/h; return force 230-650 N; return time 0.70 s; side load 3 deg; impact velocity 0.3-5 m/s; length = A max; bore size 2 inch
ACE Main Catalog 2018 metric p.102-103,CA2-CA4 heavy duty self-compensating,CA2X8-3,203,14500,1900000,18100,54400,,,,643,19.3,self-compensating,-12,66,heavy duty self-compensating; eff. weight code -3; E4 with air/oil tank 2400000 Nm/h; return force 230-650 N; return time 0.70 s; side load 3 deg; impact velocity 0.3-5 m/s; length = A max; bore size 2 inch
ACE Main Catalog 2018 metric p.102-103,CA2-CA4 heavy duty self-compensating,CA2X8-4,203,14500,1900000,45300,136000,,,,643,19.3,self-compensating,-12,66,heavy duty self-compensating; eff. weight code -4; E4 with air/oil tank 2400000 Nm/h; return force 230-650 N; return time 0.70 s; side load 3 deg; impact velocity 0.3-5 m/s; length = A max; bore size 2 inch
ACE Main Catalog 2018 metric p.102-103,CA2-CA4 heavy duty self-compensating,CA2X10-1,254,18000,2200000,3600,11000,,,,745,22.8,self-compensating,-12,66,heavy duty self-compensating; eff. weight code -1; E4 with air/oil tank 2700000 Nm/h; return force 160-460 N; return time 0.80 s; side load 3 deg; impact velocity 0.3-5 m/s; length = A max; bore size 2 inch
ACE Main Catalog 2018 metric p.102-103,CA2-CA4 heavy duty self-compensating,CA2X10-2,254,18000,2200000,9100,27200,,,,745,22.8,self-compensating,-12,66,heavy duty self-compensating; eff. weight code -2; E4 with air/oil tank 2700000 Nm/h; return force 160-460 N; return time 0.80 s; side load 3 deg; impact velocity 0.3-5 m/s; length = A max; bore size 2 inch
ACE Main Catalog 2018 metric p.102-103,CA2-CA4 heavy duty self-compensating,CA2X10-3,254,18000,2200000,22600,68000,,,,745,22.8,self-compensating,-12,66,heavy duty self-compensating; eff. weight code -3; E4 with air/oil tank 2700000 Nm/h; return force 160-460 N; return time 0.80 s; side load 3 deg; impact velocity 0.3-5 m/s; length = A max; bore size 2 inch
ACE Main Catalog 2018 metric p.102-103,CA2-CA4 heavy duty self-compensating,CA2X10-4,254,18000,2200000,56600,170000,,,,745,22.8,self-compensating,-12,66,heavy duty self-compensating; eff. weight code -4; E4 with air/oil tank 2700000 Nm/h; return force 160-460 N; return time 0.80 s; side load 3 deg; impact velocity 0.3-5 m/s; length = A max; bore size 2 inch
ACE Main Catalog 2018 metric p.104,CA2-CA4 heavy duty self-compensating,CA3X5-1,127,14125,2260000,2900,8700,,,,490.5,28.9,self-compensating,-12,66,heavy duty self-compensating; eff. weight code -1; E4 with air/oil tank 2800000 Nm/h; return force 270-710 N; return time 0.6 s; side load 3 deg; impact velocity 0.3-5 m/s; length = A max; bore size 3 inch
ACE Main Catalog 2018 metric p.104,CA2-CA4 heavy duty self-compensating,CA3X5-2,127,14125,2260000,7250,21700,,,,490.5,28.9,self-compensating,-12,66,heavy duty self-compensating; eff. weight code -2; E4 with air/oil tank 2800000 Nm/h; return force 270-710 N; return time 0.6 s; side load 3 deg; impact velocity 0.3-5 m/s; length = A max; bore size 3 inch
ACE Main Catalog 2018 metric p.104,CA2-CA4 heavy duty self-compensating,CA3X5-3,127,14125,2260000,18100,54350,,,,490.5,28.9,self-compensating,-12,66,heavy duty self-compensating; eff. weight code -3; E4 with air/oil tank 2800000 Nm/h; return force 270-710 N; return time 0.6 s; side load 3 deg; impact velocity 0.3-5 m/s; length = A max; bore size 3 inch
ACE Main Catalog 2018 metric p.104,CA2-CA4 heavy duty self-compensating,CA3X5-4,127,14125,2260000,45300,135900,,,,490.5,28.9,self-compensating,-12,66,heavy duty self-compensating; eff. weight code -4; E4 with air/oil tank 2800000 Nm/h; return force 270-710 N; return time 0.6 s; side load 3 deg; impact velocity 0.3-5 m/s; length = A max; bore size 3 inch
ACE Main Catalog 2018 metric p.104,CA2-CA4 heavy duty self-compensating,CA3X8-1,203,22600,3600000,4650,13900,,,,641,33.4,self-compensating,-12,66,heavy duty self-compensating; eff. weight code -1; E4 with air/oil tank 4520000 Nm/h; return force 280-740 N; return time 0.8 s; side load 3 deg; impact velocity 0.3-5 m/s; length = A max; bore size 3 inch
ACE Main Catalog 2018 metric p.104,CA2-CA4 heavy duty self-compensating,CA3X8-2,203,22600,3600000,11600,34800,,,,641,33.4,self-compensating,-12,66,heavy duty self-compensating; eff. weight code -2; E4 with air/oil tank 4520000 Nm/h; return force 280-740 N; return time 0.8 s; side load 3 deg; impact velocity 0.3-5 m/s; length = A max; bore size 3 inch
ACE Main Catalog 2018 metric p.104,CA2-CA4 heavy duty self-compensating,CA3X8-3,203,22600,3600000,29000,87000,,,,641,33.4,self-compensating,-12,66,heavy duty self-compensating; eff. weight code -3; E4 with air/oil tank 4520000 Nm/h; return force 280-740 N; return time 0.8 s; side load 3 deg; impact velocity 0.3-5 m/s; length = A max; bore size 3 inch
ACE Main Catalog 2018 metric p.104,CA2-CA4 heavy duty self-compensating,CA3X8-4,203,22600,3600000,72500,217000,,,,641,33.4,self-compensating,-12,66,heavy duty self-compensating; eff. weight code -4; E4 with air/oil tank 4520000 Nm/h; return force 280-740 N; return time 0.8 s; side load 3 deg; impact velocity 0.3-5 m/s; length = A max; bore size 3 inch
