example_no,application,inputs,formula_e1,formula_e2,e1_nm,e2_nm,e3_nm,e4_nm_per_hr,vd_m_s,we_kg,chosen_model,notes
F-0,Approximate formulas (p.10),"E3 [Nm], s [m], vD [m/s]",,,,,,,,,,"Reaction force Q [N] = 1.5 * E3 / s ; Stopping time t [s] = 2.6 * s / vD ; Deceleration a [m/s2] = 0.75 * vD^2 / s. Approximate values assuming correct adjustment, add safety margin. Key: E1 kinetic energy per cycle; E2 propelling force energy per cycle; E3 = E1 + E2 total energy per cycle; E4 = E3 * c total energy per hour (valid at room temp only); We effective weight = 2*E3/vD^2 (= W when no propelling force); c cycles/hr; n absorbers in parallel -> divide E3, E4, We by n. vD = final impact velocity; with accelerating (e.g. pneumatic) motion final velocity can be 1.5-2x average. ST stall torque factor normally 2.5; g = 9.81."
1,Weight without propelling force,W=100 kg; v=1.5 m/s; c=500 /hr; s=0.050 m (chosen),E1 = W*v^2*0.5,E2 = 0,113,0,113,56500,1.5,100,MC3350-2 self-compensating,vD = v; We = W. E4 = E3*c.
2,Weight with propelling force,W=36 kg; v=1.5 m/s; F=400 N; c=1000 /hr; s=0.025 m (chosen),E1 = W*v^2*0.5,E2 = F*s,41,10,51,51000,1.5,45,MC600 self-compensating,We = 2*E3/vD^2 = 2*51/1.5^2 = 45 kg. Variants: 2.1 vertical up E2=(F-W*g)*s; 2.2 vertical down E2=(F+W*g)*s. v = final impact velocity; pneumatic systems 1.5-2x average.
3,Weight with motor drive,W=800 kg; v=1.2 m/s; ST=2.5; P=4 kW; c=100 /hr; s=0.100 m (chosen),E1 = W*v^2*0.5,E2 = 1000*P*ST*s/v,576,834,1410,141000,1.2,1958,MC64100-2 self-compensating,"E2 = 1000*4*2.5*0.1/1.2 = 834 Nm. Include rotational energy of motor, coupling and gearbox in E1."
4,Weight on driven rollers,W=250 kg; v=1.5 m/s; c=180 /hr; mu=0.2 (steel/steel); s=0.050 m (chosen),E1 = W*v^2*0.5,E2 = W*mu*g*s,281,25,306,55080,1.5,272,MC4550-2 self-compensating,E2 = 250*0.2*9.81*0.05 = 25 Nm.
5,Swinging weight with propelling torque,W=20 kg; v=1 m/s; T=50 Nm; R=0.5 m; L=0.8 m; c=1500 /hr; s=0.012 m (chosen),E1 = W*v^2*0.5 = 0.5*I*omega^2,E2 = T*s/R,10,1.2,11.2,16800,0.63,56,MC150H self-compensating,"vD = v*R/L = 1*0.5/0.8 = 0.63 m/s; We = 2*11.2/0.63^2 = 56 kg. Catalogue misprints E4 line as ""306*180"" but result 16800 = 11.2*1500. Check side load angle tan(alpha)=s/R."
6,Free falling weight,W=30 kg; H=0.5 m; c=400 /hr; s=0.050 m (chosen),E1 = W*g*H,E2 = W*g*s,147,15,162,64800,3.13,33,MC3350-1 self-compensating,vD = sqrt(2*g*H) = 3.13 m/s; We = 2*162/3.13^2 = 33 kg.
6.1,Weight rolling/sliding down incline,W=500 kg; H=0.1 m; c=200 /hr; beta=10 deg; s=0.075 m,E1 = W*g*H = W*vD^2*0.5,E2 = W*g*sin(beta)*s,490.5,63.9,554.4,11880,,,MC4575-2 self-compensating,"E4 recorded as printed (11880.0 Nm/hr); arithmetic 554.4*200 = 110,880 so the printed value is probably a misprint - verify before use. Catalogue also prints E2 = ""50*9.81*sin(10)*0.075 = 63.9"" (W typo; 500 kg gives 63.9). vD = sqrt(2*g*H). Variants: 6.1a propelling force up incline E2=(F-W*g*sin(beta))*s; 6.1b down incline E2=(F+W*g*sin(beta))*s."
6.2,Weight free falling about a pivot point,W=50 kg; H=1 m; c=50 /hr; R=300 mm; L=500 mm,E1 = W*g*H,E2 = 0,490.5,0,490.5,24525,,,MC4550-1 self-compensating,vD = sqrt(2*g*H)*R/L; We = 2*E3/vD^2 (not printed). Check side load angle tan(alpha) = s/R against max side load angle in capacity chart.
7,Rotary index table with propelling torque,W=1000 kg; v=1.1 m/s; T=1000 Nm; s=0.050 m (chosen); L=1.25 m; R=0.8 m; c=100 /hr,E1 = W*v^2*0.25 = 0.5*I*omega^2,E2 = T*s/R,303,63,366,36600,0.7,1494,MC4550-3 self-compensating,"vD = v*R/L = 1.1*0.8/1.25 = 0.7 m/s; We = 2*366/0.7^2 = 1494 kg. Catalogue lines for E2/E3/E4 carry copy-paste artefacts from example 8 (""300*0.025:0.8"", ""28+9"", ""37*1200""); the numeric results 63 / 366 / 36600 are consistent with T=1000, s=0.05, R=0.8, c=100."
8,Swinging arm with propelling torque (uniform weight distribution),I=56 kgm2; omega=1 rad/s; T=300 Nm; s=0.025 m (chosen); L=1.5 m; R=0.8 m; c=1200 /hr,E1 = W*v^2*0.17 = 0.5*I*omega^2,E2 = T*s/R,28,9,37,44400,0.8,116,MC600 self-compensating,vD = omega*R = 0.8 m/s; We = 2*37/0.8^2 = 116 kg. Check side load angle.
