awri_model,reference_make,reference_model,delta_load_pct
AWRI-16-20,Enidine,WR3-600,-18.2
AWRI-24-20,Enidine,WR3-100,-1.2
AWRI-32-20,Enidine,WR6-850,-1.3
AWRI-40-20,Enidine,WR6-700,-3.3
AWRI-48-20,Enidine,WR12-600,2.1
AWRI-64-20,Enidine,WR12-206,-0.2
AWRI-95-20,Enidine,WR16-700,5
AWRI-127-20,Enidine,WR20-400,0.7
AWRI-159-20,Enidine,WR28-400,-4.2
AWRI-222-20,Enidine,WR36-200,2
AWRI-222-40,Enidine,WR36-600,3.4
AWRI-222-60,Enidine,WR28-200,-3.7
AWRI-222-80,Enidine,WR28-400,-2.9
AWRI-286-20,Enidine,WR40-200,9.2
AWRI-286-40,Enidine,WR40-200,-6.1
AWRI-286-60,Enidine,WR40-400,1.6
AWRI-318-20,Enidine,WR40-200,40
AWRI-318-40,Enidine,WR40-200,14
AWRI-16-10,Socitec,C3H-910,0
AWRI-16-20,Socitec,C2H-510,0.1111111111111111
AWRI-16-40,Socitec,C2H-610,0.03225806451612903
AWRI-16-60,Socitec,C2H-710,0.037037037037037035
AWRI-16-80,Socitec,C2H-810,0.045454545454545456
AWRI-16-71,Socitec,C2H-910,0.05
AWRI-24-10,Socitec,C4H-1010,0
AWRI-24-20,Socitec,C4H-1110,0.047619047619047616
AWRI-24-40,Socitec,C4H-1210,-0.014705882352941176
AWRI-24-60,Socitec,C2H-410,0.020833333333333332
AWRI-24-70,Socitec,MPN8-280,0.022727272727272728
AWRI-24-80,Socitec,MPN8-280,0.022727272727272728
AWRI-32-10,Socitec,CB1270-35,0.0078125
AWRI-32-20,Socitec,C5H-910,-0.012875536480686695
AWRI-32-40,Socitec,CB1270-40,0.01
AWRI-32-50,Socitec,CB1270-50,0
AWRI-32-60,Socitec,C4H-710,-0.01764705882352941
AWRI-32-70,Socitec,C5H-1110,-0.025
AWRI-32-80,Socitec,CB1270-60,0
AWRI-40-20,Socitec,CB1300-60,0.010570824524312896
AWRI-40-40,Socitec,CB1380-80,0
AWRI-40-60,Socitec,CB1270-30,0
AWRI-40-80,Socitec,CB1280-50,0.0035714285714285713
AWRI-40-90,Socitec,MPN13-270,-0.017857142857142856
AWRI-48-20,Socitec,CB1400-80,0.0020964360587002098
AWRI-48-30,Socitec,CB1390-70,0.009719222462203024
AWRI-48-40,Socitec,MPN14-235,-0.026888604353393086
AWRI-48-50,Socitec,MPN14-235,0.011984021304926764
AWRI-48-60,Socitec,CB1300-40,0.003003003003003003
AWRI-48-70,Socitec,CB1290-35,0.0015723270440251573
AWRI-48-80,Socitec,CB1300-60,0.00631578947368421
AWRI-48-85,Socitec,CB1280-40,-0.009771986970684038
AWRI-48-90,Socitec,C5H-910,-0.004329004329004329
AWRI-48-95,Socitec,C5H-1110,0
AWRI-64-20,Socitec,CB1390-50,-0.007352941176470588
AWRI-64-40,Socitec,CB1390-70,0.003218884120171674
AWRI-64-50,Socitec,MPN14-235,-0.02313624678663239
AWRI-64-60,Socitec,MPN14-270,0.019261637239165328
AWRI-64-70,Socitec,CB1270-20,0.024074074074074074
AWRI-64-80,Socitec,CB1300-50,-0.004081632653061225
AWRI-64-85,Socitec,CB1290-50,0.01098901098901099
AWRI-64-90,Socitec,CB1300-70,0.004819277108433735
AWRI-95-20,Socitec,CB1400-40,0.0024330900243309003
AWRI-95-30,Socitec,CB1390-35,0
AWRI-95-26,Socitec,CB61400-40,0.009174311926605505
AWRI-95-40,Socitec,CB1390-40,0.0033444816053511705
AWRI-95-36,Socitec,CB1300-15,0.019553072625698324
AWRI-95-50,Socitec,CB1290-20,0
AWRI-95-60,Socitec,CB1400-60,-0.013761467889908258
AWRI-95-46,Socitec,CB1380-25,-0.009812667261373774
AWRI-95-56,Socitec,CB1280-10,0.0311284046692607
AWRI-95-66,Socitec,CB61400-60,-0.025075225677031094
AWRI-95-70,Socitec,MPN14-235,0.016042780748663103
AWRI-95-80,Socitec,CB1290-38,-0.0472972972972973
AWRI-95-76,Socitec,CB1270-20,-0.0018050541516245488
AWRI-95-86,Socitec,MPN11-235,-0.006696428571428571
AWRI-127-20,Socitec,CB1600-40,-0.009203054630898766
AWRI-127-30,Socitec,CB1400-15,-0.02250351617440225
AWRI-127-40,Socitec,CB1600-60,-0.009210853871048046
AWRI-127-26,Socitec,CB61400-12,0.020887728459530026
AWRI-127-60,Socitec,CB1390-15,0.0006176652254478073
AWRI-127-36,Socitec,CB1390-15,0.00997506234413965
AWRI-127-46,Socitec,CB61400-17,-0.026490066225165563
AWRI-127-70,Socitec,MPN17-375,-0.004098360655737705
AWRI-127-66,Socitec,MPN17-375,0
AWRI-127-85,Socitec,CB61400-20,0.006140765233821445
AWRI-127-76,Socitec,CB1400-40,0.0024330900243309003
AWRI-127-86,Socitec,CB61400-30,-0.02547065337763012
