source,family,model,type,wire_dia_mm,loop_count,length_mm,width_mm,height_mm,mount_hole_dia_mm,weight_kg,static_load_min_n,static_load_max_n,vertical_stiffness_n_mm,shear_stiffness_n_mm,roll_stiffness_n_mm,shock_load_max_n,max_deflection_mm,natural_freq_hz,notes
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW16-10-10,wire rope helical,1.6,10,79.5,25,18,4.7,0.02,,47,36,14,20,,8.6,,cat p.10-11; Ks_comp=22; 45deg comp/roll: Fmax=33 N dmax=11.7 mm Kv=20 Ks=11.4; shear/roll: Fmax=22 N dmax=8.6 mm Kv=14 Ks=14; bar 10.2x4.1 mm; 4 holes; hole pitch 68.3; thread M4X0.7; max insert torque 0.7 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW16-20-10,wire rope helical,1.6,10,79.5,28,20,4.7,0.02,,36,25,8.8,14,,9.7,,cat p.10-11; Ks_comp=16; 45deg comp/roll: Fmax=24 N dmax=14.7 mm Kv=14 Ks=7; shear/roll: Fmax=18 N dmax=10.7 mm Kv=8.8 Ks=8.8; bar 10.2x4.1 mm; 4 holes; hole pitch 68.3; thread M4X0.7; max insert torque 0.7 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW16-40-10,wire rope helical,1.6,10,79.5,30,25,4.7,0.03,,31,17,5.3,11,,14.7,,cat p.10-11; Ks_comp=8.8; 45deg comp/roll: Fmax=18 N dmax=20.8 mm Kv=11 Ks=4.7; shear/roll: Fmax=16 N dmax=15.7 mm Kv=5.3 Ks=5.3; bar 10.2x4.1 mm; 4 holes; hole pitch 68.3; thread M4X0.7; max insert torque 0.7 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW16-60-10,wire rope helical,1.6,10,79.5,33,28,4.7,0.03,,27,12,3.9,7,,17.8,,cat p.10-11; Ks_comp=6.1; 45deg comp/roll: Fmax=18 N dmax=24.9 mm Kv=7 Ks=3; shear/roll: Fmax=13 N dmax=18.8 mm Kv=3.9 Ks=3.9; bar 10.2x4.1 mm; 4 holes; hole pitch 68.3; thread M4X0.7; max insert torque 0.7 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW16-70-10,wire rope helical,1.6,10,79.5,36,30,4.7,0.03,,22,11,3.2,6.1,,18.8,,cat p.10-11; Ks_comp=5.3; 45deg comp/roll: Fmax=18 N dmax=26.9 mm Kv=6.1 Ks=2.6; shear/roll: Fmax=13 N dmax=19.8 mm Kv=3.2 Ks=3.2; bar 10.2x4.1 mm; 4 holes; hole pitch 68.3; thread M4X0.7; max insert torque 0.7 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW16-80-10,wire rope helical,1.6,10,79.5,38,33,4.7,0.03,,20,7.9,2.3,5.3,,21.8,,cat p.10-11; Ks_comp=3.9; 45deg comp/roll: Fmax=16 N dmax=31 mm Kv=5.3 Ks=1.9; shear/roll: Fmax=11 N dmax=22.9 mm Kv=2.3 Ks=2.3; bar 10.2x4.1 mm; 4 holes; hole pitch 68.3; thread M4X0.7; max insert torque 0.7 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW24-10-10,wire rope helical,2.4,10,112.3,28,23,5.6,0.06,,95,72,26,42,,8.6,,cat p.12-13; Ks_comp=44; 45deg comp/roll: Fmax=68 N dmax=12.7 mm Kv=42 Ks=22; shear/roll: Fmax=48 N dmax=9.7 mm Kv=26 Ks=24; bar 12.7x6.4 mm; 4 holes; hole pitch 100.3; thread M5X0.8; max insert torque 0.9 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW24-20-10,wire rope helical,2.4,10,112.3,30,25,5.6,0.07,,84,56,20,31,,10.7,,cat p.12-13; Ks_comp=33; 45deg comp/roll: Fmax=58 N dmax=15.7 mm Kv=31 Ks=15.4; shear/roll: Fmax=44 N dmax=11.7 mm Kv=20 Ks=18; bar 12.7x6.4 mm; 4 holes; hole pitch 100.3; thread M5X0.8; max insert torque 0.9 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW24-40-10,wire rope helical,2.4,10,112.3,33,28,5.6,0.07,,68,41,13,23,,13.7,,cat p.12-13; Ks_comp=21; 45deg comp/roll: Fmax=48 N dmax=18.8 mm Kv=23 Ks=10.6; shear/roll: Fmax=34 N dmax=13.7 mm Kv=13 Ks=12; bar 12.7x6.4 mm; 4 holes; hole pitch 100.3; thread M5X0.8; max insert torque 0.9 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW24-60-10,wire rope helical,2.4,10,112.3,38,33,5.6,0.07,,48,25,7.8,14,,17.8,,cat p.12-13; Ks_comp=12; 45deg comp/roll: Fmax=40 N dmax=25.9 mm Kv=14 Ks=6.2; shear/roll: Fmax=30 N dmax=18.8 mm Kv=7.8 Ks=7; bar 12.7x6.4 mm; 4 holes; hole pitch 100.3; thread M5X0.8; max insert torque 0.9 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW24-70-10,wire rope helical,2.4,10,112.3,41,36,5.6,0.07,,44,20,5.9,12,,20.8,,cat p.12-13; Ks_comp=8.7; 45deg comp/roll: Fmax=34 N dmax=27.9 mm Kv=12 Ks=4.8; shear/roll: Fmax=24 N dmax=21.8 mm Kv=5.9 Ks=5.3; bar 12.7x6.4 mm; 4 holes; hole pitch 100.3; thread M5X0.8; max insert torque 0.9 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW24-80-10,wire rope helical,2.4,10,112.3,43,38,5.6,0.08,,44,18,4.8,10.6,,22.9,,cat p.12-13; Ks_comp=7.7; 45deg comp/roll: Fmax=30 N dmax=32 mm Kv=10.6 Ks=3.9; shear/roll: Fmax=20 N dmax=23.9 mm Kv=4.8 Ks=4.4; bar 12.7x6.4 mm; 4 holes; hole pitch 100.3; thread M5X0.8; max insert torque 0.9 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW32-10-10,wire rope helical,3.2,10,127,36,28,6.9,0.12,,256,185,67,103,,9.7,,cat p.14-15; Ks_comp=109; 45deg comp/roll: Fmax=179 N dmax=13.7 mm Kv=103 Ks=55; shear/roll: Fmax=133 N dmax=9.7 mm Kv=67 Ks=56; bar 14.3x7.9 mm; 4 holes; hole pitch 114.3; thread M6X1.0; max insert torque 3.7 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW32-20-10,wire rope helical,3.2,10,127,38,30,6.9,0.12,,233,150,52,84,,11.7,,cat p.14-15; Ks_comp=82; 45deg comp/roll: Fmax=166 N dmax=17.3 mm Kv=84 Ks=42; shear/roll: Fmax=118 N dmax=11.7 mm Kv=52 Ks=43; bar 14.3x7.9 mm; 4 holes; hole pitch 114.3; thread M6X1.0; max insert torque 3.7 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW32-40-10,wire rope helical,3.2,10,127,41,33,6.9,0.13,,200,114,37,64,,13.7,,cat p.14-15; Ks_comp=61; 45deg comp/roll: Fmax=142 N dmax=19.8 mm Kv=64 Ks=30; shear/roll: Fmax=112 N dmax=14.7 mm Kv=37 Ks=31; bar 14.3x7.9 mm; 4 holes; hole pitch 114.3; thread M6X1.0; max insert torque 3.7 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW32-50-10,wire rope helical,3.2,10,127,43,36,6.9,0.13,,187,94,30,53,,16.8,,cat p.14-15; Ks_comp=47; 45deg comp/roll: Fmax=133 N dmax=23.9 mm Kv=53 Ks=24; shear/roll: Fmax=102 N dmax=17.8 mm Kv=30 Ks=25; bar 14.3x7.9 mm; 4 holes; hole pitch 114.3; thread M6X1.0; max insert torque 3.7 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW32-60-10,wire rope helical,3.2,10,127,46,38,6.9,0.13,,170,80,23,47,,18.8,,cat p.14-15; Ks_comp=38; 45deg comp/roll: Fmax=122 N dmax=26.9 mm Kv=47 Ks=19; shear/roll: Fmax=96 N dmax=19.8 mm Kv=23 Ks=19; bar 14.3x7.9 mm; 4 holes; hole pitch 114.3; thread M6X1.0; max insert torque 3.7 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW32-70-10,wire rope helical,3.2,10,127,48,41,6.9,0.14,,160,68,19,38,,21.8,,cat p.14-15; Ks_comp=30; 45deg comp/roll: Fmax=113 N dmax=31 mm Kv=38 Ks=14; shear/roll: Fmax=85 N dmax=22.9 mm Kv=19 Ks=16; bar 14.3x7.9 mm; 4 holes; hole pitch 114.3; thread M6X1.0; max insert torque 3.7 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW32-80-10,wire rope helical,3.2,10,127,51,43,6.9,0.14,,140,55,14,31,,23.9,,cat p.14-15; Ks_comp=25; 45deg comp/roll: Fmax=100 N dmax=34 mm Kv=31 Ks=13; shear/roll: Fmax=74 N dmax=25.9 mm Kv=14 Ks=12; bar 14.3x7.9 mm; 4 holes; hole pitch 114.3; thread M6X1.0; max insert torque 3.7 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW40-20-10,wire rope helical,4,10,127,41,30,6.9,0.15,,473,289,95,160,,12.7,,cat p.16-17; Ks_comp=152; 45deg comp/roll: Fmax=330 N dmax=17.8 mm Kv=160 Ks=78; shear/roll: Fmax=231 N dmax=12.7 mm Kv=95 Ks=73; bar 14.3x7.9 mm; 4 holes; hole pitch 114.3; thread M6X1.0; max insert torque 4.3 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW40-40-10,wire rope helical,4,10,127,43,33,6.9,0.15,,402,221,69,125,,14.7,,cat p.16-17; Ks_comp=114; 45deg comp/roll: Fmax=283 N dmax=21.8 mm Kv=125 Ks=55; shear/roll: Fmax=203 N dmax=15.7 mm Kv=69 Ks=53; bar 14.3x7.9 mm; 4 holes; hole pitch 114.3; thread M6X1.0; max insert torque 4.3 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW40-60-10,wire rope helical,4,10,127,48,38,6.9,0.16,,334,151,43,86,,19.8,,cat p.16-17; Ks_comp=70; 45deg comp/roll: Fmax=237 N dmax=27.9 mm Kv=86 Ks=36; shear/roll: Fmax=173 N dmax=20.8 mm Kv=43 Ks=33; bar 14.3x7.9 mm; 4 holes; hole pitch 114.3; thread M6X1.0; max insert torque 4.3 Nm
