model,family,type,mount_style,load_min_kg,load_max_kg,natural_freq_hz,stiffness_n_mm,static_deflection_mm,height_mm,dia_mm,length_mm,width_mm,thread,material,hardness_shore,temp_min_c,temp_max_c,weight_kg,hsn,gst_rate,uom,price_inr,lead_time_days,status,image,ga_pdf,source,note
AT-OVTN10-20,OVTN rubber-coated anti-impact isolator,elastomer + wire rope hybrid,,,20.0,10~18,105,28,76,111,127,,,Natural rubber / steel,,-30,80,0.99,40169990,18,NOS,1200,21,reference,img/mounts/OVTN.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,"cat p.54-57; rated loads printed in kg, converted x9.81: vertical 20 kg, lateral 15 kg (=147.2 N), longitudinal 35 kg (="
AT-OVTN10-15,OVTN rubber-coated anti-impact isolator,elastomer + wire rope hybrid,,,15.0,10~18,78,28,76,111,127,,,Natural rubber / steel,,-30,80,0.99,40169990,18,NOS,1200,21,reference,img/mounts/OVTN.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,"cat p.54-57; rated loads printed in kg, converted x9.81: vertical 15 kg, lateral 10 kg (=98.1 N), longitudinal 24 kg (=2"
AT-OVTN10-10,OVTN rubber-coated anti-impact isolator,elastomer + wire rope hybrid,,,10.0,10~18,52,28,76,111,127,,,Natural rubber / steel,,-30,80,0.99,40169990,18,NOS,1200,21,reference,img/mounts/OVTN.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,"cat p.54-57; rated loads printed in kg, converted x9.81: vertical 10 kg, lateral 8 kg (=78.5 N), longitudinal 15 kg (=14"
AT-OVTN20-150,OVTN rubber-coated anti-impact isolator,elastomer + wire rope hybrid,,,150.0,10~18,785,89,140,165,203,,,Natural rubber / steel,,-30,80,2.90,40169990,18,NOS,4600,21,reference,img/mounts/OVTN.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,"cat p.54-57; rated loads printed in kg, converted x9.81: vertical 150 kg, lateral 105 kg (=1030 N), longitudinal 265 kg "
AT-OVTN20-100,OVTN rubber-coated anti-impact isolator,elastomer + wire rope hybrid,,,100.0,10~18,523,89,140,165,203,,,Natural rubber / steel,,-30,80,2.90,40169990,18,NOS,4600,21,reference,img/mounts/OVTN.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,"cat p.54-57; rated loads printed in kg, converted x9.81: vertical 100 kg, lateral 60 kg (=588.6 N), longitudinal 155 kg "
AT-OVTN20-50,OVTN rubber-coated anti-impact isolator,elastomer + wire rope hybrid,,,50.0,10~18,262,89,140,165,203,,,Natural rubber / steel,,-30,80,2.90,40169990,18,NOS,4600,21,reference,img/mounts/OVTN.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,"cat p.54-57; rated loads printed in kg, converted x9.81: vertical 50 kg, lateral 25 kg (=245.2 N), longitudinal 65 kg (="
AT-OVTN30-250,OVTN rubber-coated anti-impact isolator,elastomer + wire rope hybrid,,,250.0,10~18,1308,89,140,165,241,,,Natural rubber / steel,,-30,80,3.20,40169990,18,NOS,4700,21,reference,img/mounts/OVTN.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,"cat p.54-57; rated loads printed in kg, converted x9.81: vertical 250 kg, lateral 170 kg (=1667.7 N), longitudinal 440 k"
AT-OVTN30-125,OVTN rubber-coated anti-impact isolator,elastomer + wire rope hybrid,,,125.0,10~18,654,89,140,165,241,,,Natural rubber / steel,,-30,80,3.20,40169990,18,NOS,4700,21,reference,img/mounts/OVTN.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,"cat p.54-57; rated loads printed in kg, converted x9.81: vertical 125 kg, lateral 75 kg (=735.8 N), longitudinal 195 kg "
AT-OVTN30-60,OVTN rubber-coated anti-impact isolator,elastomer + wire rope hybrid,,,60.0,10~18,314,89,140,165,241,,,Natural rubber / steel,,-30,80,3.20,40169990,18,NOS,4700,21,reference,img/mounts/OVTN.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,"cat p.54-57; rated loads printed in kg, converted x9.81: vertical 60 kg, lateral 30 kg (=294.3 N), longitudinal 80 kg (="
AT-OVTN40-300,OVTN rubber-coated anti-impact isolator,elastomer + wire rope hybrid,,,300.0,10~18,1569,102,165,235,279,,,Natural rubber / steel,,-30,80,6.26,40169990,18,NOS,7000,21,reference,img/mounts/OVTN.svg,,EKD catalogue equivalent - replace with Adoni Tech catalogue data,"cat p.54-57; rated loads printed in kg, converted x9.81: vertical 300 kg, lateral 155 kg (=1520.6 N), longitudinal 395 k"
