model,family_wire_mm,height_mm,width_mm,weight_kg,hole_mm,thread,c_load_n,c_defl_mm,c_kv_n_mm,c_ks_n_mm,r_load_n,r_defl_mm,r_kv_n_mm,r_ks_n_mm,s_load_n,s_defl_mm,s_kv_n_mm,s_ks_n_mm,enidine_equiv,hsn,gst_rate,uom,price_inr,lead_time_days,status,image,ga_pdf,note
AWRI-16-10,16,18,25,0.02,4.7,M4X0.7,47,8.6,36,22,33,11.7,20,11.4,22,8.6,14,14,WR2-100 / WR2-200,84879000,18,NOS,1800,21,active,img/series/AWRI.svg,,
AWRI-16-20,16,20,28,0.02,4.7,M4X0.7,36,9.7,25,16,24,14.7,14,7,18,10.7,8.8,8.8,WR2-200 / WR3-100 / WR2-100,84879000,18,NOS,1850,21,active,img/series/AWRI.svg,,
AWRI-16-40,16,25,30,0.03,4.7,M4X0.7,31,14.7,17,8.8,18,20.8,11,4.7,16,15.7,5.3,5.3,WR2-400 / WR3-200 / WR3-100,84879000,18,NOS,2000,21,active,img/series/AWRI.svg,,
AWRI-16-60,16,28,33,0.03,4.7,M4X0.7,27,17.8,12,6.1,18,24.9,7,3,13,18.8,3.9,3.9,WR2-600 / WR3-400 / WR4-100,84879000,18,NOS,2050,21,active,img/series/AWRI.svg,,
AWRI-16-80,16,30,36,0.03,4.7,M4X0.7,22,18.8,11,5.3,18,26.9,6.1,2.6,13,19.8,3.2,3.2,WR2-700 / WR6-200 / WR4-100,84879000,18,NOS,2100,21,active,img/series/AWRI.svg,,
AWRI-16-71,16,33,38,0.03,4.7,M4X0.7,20,21.8,7.9,3.9,16,31,5.3,1.9,11,22.9,2.3,2.3,WR2-800 / WR3-600 / WR6-300,84879000,18,NOS,2150,21,active,img/series/AWRI.svg,,
AWRI-24-10,24,23,28,0.06,5.6,M5 X 0.8,95,8.6,72,44,68,12.7,42,22,48,9.7,26,24,WR3-100 / WR2-200 / WR2-400,84879000,18,NOS,2150,21,active,img/series/AWRI.svg,,
AWRI-24-20,24,25,30,0.07,5.6,M5 X 0.9,84,10.7,56,33,58,15.7,31,15.4,44,11.7,20,18,WR2-400 / WR3-200 / WR3-100,84879000,18,NOS,2300,21,active,img/series/AWRI.svg,,
AWRI-24-40,24,28,33,0.07,5.6,M5 X 0.10,68,13.7,41,21,48,18.8,23,10.6,34,13.7,13,12,WR2-600 / WR3-400 / WR4-100,84879000,18,NOS,2400,21,active,img/series/AWRI.svg,,
AWRI-24-60,24,33,38,0.07,5.6,M5 X 0.11,48,17.8,25,12,40,25.9,4,6.2,30,18.8,7.8,7,WR2-800 / WR3-600 / WR6-300,84879000,18,NOS,2500,21,active,img/series/AWRI.svg,,
