bk,series,model,mounting,accessory,fmt,filename,path,rev,source,source_file,source_date,bytes,sha1,status,notes
AC105,AC,AC-10-5,,,PDF,AC-10-5.pdf,AC/AC-10-5.pdf,A,generated,generated from catalogue,2026-09-18,88244,,generated,
AC108,AC,AC-10-8,,,PDF,AC-10-8.pdf,AC/AC-10-8.pdf,A,generated,generated from catalogue,2026-09-18,88228,,generated,
AC115100,AC,AC-115-100,,,PDF,AC-115-100.pdf,AC/AC-115-100.pdf,A,existing,GA:AC-115-100-M.PDF,2023-02-16,371218,e7638ae02609ccc782ba1bbb156d13d94df1f39c,review,model not in products.csv
AC115150,AC,AC-115-150,,,PDF,AC-115-150.pdf,AC/AC-115-150.pdf,A,generated,generated from catalogue,2026-09-18,88436,,generated,
AC115200,AC,AC-115-200,,,PDF,AC-115-200.pdf,AC/AC-115-200.pdf,A,generated,generated from catalogue,2026-09-18,88468,,generated,
AC115250,AC,AC-115-250,,,PDF,AC-115-250.pdf,AC/AC-115-250.pdf,A,generated,generated from catalogue,2026-09-18,88329,,generated,
AC1210,AC,AC-12-10,,,PDF,AC-12-10.pdf,AC/AC-12-10.pdf,A,generated,generated from catalogue,2026-09-18,88276,,generated,
AC1410,AC,AC-14-10,,,PDF,AC-14-10.pdf,AC/AC-14-10.pdf,A,generated,generated from catalogue,2026-09-18,88244,,generated,
AC1412,AC,AC-14-12,,,PDF,AC-14-12.pdf,AC/AC-14-12.pdf,A,generated,generated from catalogue,2026-09-18,88292,,generated,
AC1607,AC,AC-16-07,,,PDF,AC-16-07.pdf,AC/AC-16-07.pdf,A,existing,GA:AC 16-07 2 P.pdf,2023-05-03,144707,751dcfc5a0c0b830d867520f751afd6795e7c943,review,model not in products.csv
AC1613,AC,AC-16-13,,,PDF,AC-16-13.pdf,AC/AC-16-13.pdf,A,generated,generated from catalogue,2026-09-18,88228,,generated,
AC2010,AC,AC-20-10,,,PDF,AC-20-10.pdf,AC/AC-20-10.pdf,A,existing,GA:AC 20-10  Assembly.PDF,2022-05-11,98228,2183c405d3d2a9e9dbd9d58828633ef2797b51bd,review,model not in products.csv | check: assembly-type sheet
AC2015,AC,AC-20-15,,,PDF,AC-20-15.pdf,AC/AC-20-15.pdf,R1,existing,GA:AC-20-15-M-R1 (1).PDF,2023-07-21,48597,781f9ec20b6e8eeb771690b52a9103fdef2ab855,review,model not in products.csv | older alternates: GA:GA DRAWING AC 20-15M.PDF; GA:ASSEMBLY AC 20-15 M.PDF | check: assembly-type sheet
AC2015,AC,AC-20-15,,MC,PDF,AC-20-15+MC.pdf,AC/AC-20-15+MC.pdf,A,existing,GA:GA DRAWING AC 20-15 M+MC.pdf,2023-07-28,61286,9e40976d813b6691ab2fa133c205a7c35f496e81,review,model not in products.csv
AC2020,AC,AC-20-20,,,PDF,AC-20-20.pdf,AC/AC-20-20.pdf,A,generated,generated from catalogue,2026-09-18,88260,,generated,
AC2050,AC,AC-20-50,,,PDF,AC-20-50.pdf,AC/AC-20-50.pdf,A,generated,generated from catalogue,2026-09-18,88308,,generated,
AC2220,AC,AC-22-20,,,PDF,AC-22-20.pdf,AC/AC-22-20.pdf,A,generated,generated from catalogue,2026-09-18,88244,,generated,
AC2525,AC,AC-25-25,,,PDF,AC-25-25.pdf,AC/AC-25-25.pdf,A,generated,generated from catalogue,2026-09-18,88212,,generated,
AC2525,AC,AC-25-25,,JN,PDF,AC-25-25+JN.pdf,AC/AC-25-25+JN.pdf,A,existing,GA:GA DRAWING AC-25-25-M-2+JN - Sheet1.pdf,2016-11-23,37256,545f66062ef09860ddae45ce385a7634837a4d66,ok,
AC2525,AC,AC-25-25,,MC,PDF,AC-25-25+MC.pdf,AC/AC-25-25+MC.pdf,A,existing,GA:AC-25-25-M+MC.pdf,2025-07-25,145911,c8f96cd1ff7d687d0982a1e5007a853b3702802d,ok,
