source,family,model,stroke_mm,energy_per_cycle_nm,energy_per_hour_nm,eff_mass_min_kg,eff_mass_max_kg,max_force_n,thread,body_dia_mm,length_mm,weight_kg,damping_type,temp_min_c,temp_max_c,notes
ACE Main Catalog 2018 metric p.18-19,MC5-MC75 miniature,MC5M-1-B,4.1,0.68,2040,0.5,4.4,,M5x0.5,5,28,0.003,self-compensating,-10,66,return force 1-5 N; return time 0.2 s; max side load angle 2 deg; body_dia = thread OD; length = threaded body length from drawing; impact velocity 0.15-4 m/s
ACE Main Catalog 2018 metric p.18-19,MC5-MC75 miniature,MC5M-2-B,4.1,0.68,2040,3.8,10.8,,M5x0.5,5,28,0.003,self-compensating,-10,66,return force 1-5 N; return time 0.2 s; max side load angle 2 deg; body_dia = thread OD; length = threaded body length from drawing; impact velocity 0.15-4 m/s
ACE Main Catalog 2018 metric p.18-19,MC5-MC75 miniature,MC5M-3-B,4.1,0.68,2040,9.7,18.7,,M5x0.5,5,28,0.003,self-compensating,-10,66,return force 1-5 N; return time 0.2 s; max side load angle 2 deg; body_dia = thread OD; length = threaded body length from drawing; impact velocity 0.15-4 m/s
ACE Main Catalog 2018 metric p.18-19,MC5-MC75 miniature,MC9M-1-B,5,1.00,2000,0.6,3.2,,M6x0.5,6,26,0.004,self-compensating,-10,66,return force 2-4 N; return time 0.3 s; max side load angle 2 deg; body_dia = thread OD; length = threaded body length from drawing; impact velocity 0.15-4 m/s
ACE Main Catalog 2018 metric p.18-19,MC5-MC75 miniature,MC9M-2-B,5,1.00,2000,0.8,4.1,,M6x0.5,6,26,0.004,self-compensating,-10,66,return force 2-4 N; return time 0.3 s; max side load angle 2 deg; body_dia = thread OD; length = threaded body length from drawing; impact velocity 0.15-4 m/s
ACE Main Catalog 2018 metric p.18-19,MC5-MC75 miniature,MC10MH-B,5,1.25,4000,0.7,5.0,,M8x1,8,28.5,0.008,self-compensating,-10,66,return force 2-4 N; return time 0.3 s; max side load angle 3 deg; body_dia = thread OD; length = threaded body length from drawing; impact velocity 0.15-4 m/s
ACE Main Catalog 2018 metric p.18-19,MC5-MC75 miniature,MC10ML-B,5,1.25,4000,0.3,2.7,,M8x1,8,28.5,0.008,self-compensating,-10,66,return force 2-4 N; return time 0.3 s; max side load angle 3 deg; body_dia = thread OD; length = threaded body length from drawing; impact velocity 0.15-4 m/s
ACE Main Catalog 2018 metric p.18-19,MC5-MC75 miniature,MC30M-1,8,3.50,5600,0.4,1.9,,M8x1,8,40.9,0.010,self-compensating,-10,66,return force 2-6 N; return time 0.3 s; max side load angle 2 deg; body_dia = thread OD; length = threaded body length from drawing; impact velocity 0.15-4 m/s
ACE Main Catalog 2018 metric p.18-19,MC5-MC75 miniature,MC30M-2,8,3.50,5600,1.8,5.4,,M8x1,8,40.9,0.010,self-compensating,-10,66,return force 2-6 N; return time 0.3 s; max side load angle 2 deg; body_dia = thread OD; length = threaded body length from drawing; impact velocity 0.15-4 m/s
ACE Main Catalog 2018 metric p.18-19,MC5-MC75 miniature,MC30M-3,8,3.50,5600,5.0,15.0,,M8x1,8,40.9,0.010,self-compensating,-10,66,return force 2-6 N; return time 0.3 s; max side load angle 2 deg; body_dia = thread OD; length = threaded body length from drawing; impact velocity 0.15-4 m/s
ACE Main Catalog 2018 metric p.18-19,MC5-MC75 miniature,MC25,6.6,2.80,22600,1.8,5.4,,3/8-32 UNF / M10x1,10,43,0.020,self-compensating,-10,66,return force 3-6 N; return time 0.3 s; max side load angle 2 deg; body_dia = thread OD; length = threaded body length from drawing; impact velocity 0.15-4 m/s
ACE Main Catalog 2018 metric p.18-19,MC5-MC75 miniature,MC25H,6.6,2.80,22600,4.6,13.6,,3/8-32 UNF / M10x1,10,43,0.020,self-compensating,-10,66,return force 3-6 N; return time 0.3 s; max side load angle 2 deg; body_dia = thread OD; length = threaded body length from drawing; impact velocity 0.15-4 m/s
ACE Main Catalog 2018 metric p.18-19,MC5-MC75 miniature,MC25L,6.6,2.80,22600,0.7,2.2,,3/8-32 UNF / M10x1,10,43,0.020,self-compensating,-10,66,return force 3-6 N; return time 0.3 s; max side load angle 2 deg; body_dia = thread OD; length = threaded body length from drawing; impact velocity 0.15-4 m/s
ACE Main Catalog 2018 metric p.18-19,MC5-MC75 miniature,MC75-1,10,9.00,28200,0.3,1.1,,1/2-20 UNF / M12x1,12,52,0.040,self-compensating,-10,66,return force 4-9 N; return time 0.3 s; max side load angle 2 deg; body_dia = thread OD; length = threaded body length from drawing; impact velocity 0.15-4 m/s
ACE Main Catalog 2018 metric p.18-19,MC5-MC75 miniature,MC75-2,10,9.00,28200,0.9,4.8,,1/2-20 UNF / M12x1,12,52,0.040,self-compensating,-10,66,return force 4-9 N; return time 0.3 s; max side load angle 2 deg; body_dia = thread OD; length = threaded body length from drawing; impact velocity 0.15-4 m/s
ACE Main Catalog 2018 metric p.18-19,MC5-MC75 miniature,MC75-3,10,9.00,28200,2.7,36.2,,1/2-20 UNF / M12x1,12,52,0.040,self-compensating,-10,66,return force 4-9 N; return time 0.3 s; max side load angle 2 deg; body_dia = thread OD; length = threaded body length from drawing; impact velocity 0.15-4 m/s
ACE Main Catalog 2018 metric p.18-19,MC5-MC75 miniature,MC75-4,10,9.00,28200,25,72,,1/2-20 UNF / M12x1,12,52,0.040,self-compensating,-10,66,return force 4-9 N; return time 0.3 s; max side load angle 2 deg; body_dia = thread OD; length = threaded body length from drawing; impact velocity 0.15-4 m/s
ACE Main Catalog 2018 metric p.20-21,MC150-MC600 miniature rolling diaphragm,MC150,12.7,20,34000,0.9,10,,9/16-18 UNF / M14x1.5,14,69.1,0.054,self-compensating,0,66,"return force 3-8 N; return time 0.4 s; max side load angle 4 deg; rolling diaphragm, usable inside pneumatic cylinder up to 7 bar; impact velocity 0.06-6 m/s; length = threaded body length from drawing"
