source,family,model,stroke_mm,energy_per_cycle_nm,energy_per_hour_nm,eff_mass_min_kg,eff_mass_max_kg,max_force_n,max_velocity_m_s,thread,body_dia_mm,length_mm,weight_kg,damping_type,temp_min_c,temp_max_c,notes,min_velocity_m_s,max_propelling_force_n,spring_force_extended_n,spring_force_compressed_n,max_body_dia_mm,catalogue_page
"Enidine Adjustable Series Hydraulic Shock Absorbers (A4 metric catalogue, 2008), pp.17-34",OEM Small Bore (Platinum) 0.1M-1.0M,OEM .1M (B),7.0,6.0,12400,,,1220,3.3,M10 x 1.0,10.0,57.0,0.028,adjustable hydraulic (knob 0-8); LR = low-range velocity version,-10,80,length A=57.0 mm to rod end without button; A1=67.0 mm incl. button. body_dia = thread OD; max_body_dia = knob dia G. mass 28 g. button model only (B). standard fluid/seals -10..80 C; optional fluids/seals extend to -30..100 C. Energy/hr and 5%-of-rated-energy minimum per catalogue note.,0.3,350,2.2,4.5,8.6,21
"Enidine Adjustable Series Hydraulic Shock Absorbers (A4 metric catalogue, 2008), pp.17-34",OEM Small Bore (Platinum) 0.1M-1.0M,OEM .15M (B),10.0,6.0,19000,,,890,3.3,M12 x 1.0,12.0,81.8,0.056,adjustable hydraulic (knob 0-8); LR = low-range velocity version,-10,80,length A=81.8 mm to rod end without button; A1=91.7 mm incl. button. body_dia = thread OD; max_body_dia = knob dia G. mass 56 g. button model only (B). standard fluid/seals -10..80 C; optional fluids/seals extend to -30..100 C. Energy/hr and 5%-of-rated-energy minimum per catalogue note.,0.3,350,3.5,7.5,10.9,21
"Enidine Adjustable Series Hydraulic Shock Absorbers (A4 metric catalogue, 2008), pp.17-34",OEM Small Bore (Platinum) 0.1M-1.0M,OEM .25M (B),10.0,6.0,20000,,,890,3.3,M14 x 1.5,14.0,81.8,0.056,adjustable hydraulic (knob 0-8); LR = low-range velocity version,-10,80,length A=81.8 mm to rod end without button; A1=91.2 mm incl. button. body_dia = thread OD; max_body_dia = knob dia G. mass 56 g. button model only (B). standard fluid/seals -10..80 C; optional fluids/seals extend to -30..100 C. Energy/hr and 5%-of-rated-energy minimum per catalogue note.,0.3,350,3.5,7.5,10.9,21
"Enidine Adjustable Series Hydraulic Shock Absorbers (A4 metric catalogue, 2008), pp.17-34",OEM Small Bore (Platinum) 0.1M-1.0M,LROEM .25M (B),10.0,6.0,20000,,,890,1.3,M14 x 1.5,14.0,81.8,0.056,adjustable hydraulic (knob 0-8); LR = low-range velocity version,-10,80,length A=81.8 mm to rod end without button; A1=91.2 mm incl. button. body_dia = thread OD; max_body_dia = knob dia G. mass 56 g. low range; button model only (B). standard fluid/seals -10..80 C; optional fluids/seals extend to -30..100 C. Energy/hr and 5%-of-rated-energy minimum per catalogue note.,0.08,440,3.5,7.5,10.9,21
"Enidine Adjustable Series Hydraulic Shock Absorbers (A4 metric catalogue, 2008), pp.17-34",OEM Small Bore (Platinum) 0.1M-1.0M,OEM .35M (B),12.0,17.0,34000,,,2000,3.3,M16 x 1.5,16.0,100.6,0.085,adjustable hydraulic (knob 0-8); LR = low-range velocity version,-10,80,length A=100.6 mm to rod end without button; A1=110.7 mm incl. button. body_dia = thread OD; max_body_dia = knob dia G. mass 85 g. button model only (B). standard fluid/seals -10..80 C; optional fluids/seals extend to -30..100 C. Energy/hr and 5%-of-rated-energy minimum per catalogue note.,0.3,530,4.5,9.8,11.2,21
"Enidine Adjustable Series Hydraulic Shock Absorbers (A4 metric catalogue, 2008), pp.17-34",OEM Small Bore (Platinum) 0.1M-1.0M,LROEM .35M (B),12.0,17.0,34000,,,2000,1.3,M16 x 1.5,16.0,100.6,0.085,adjustable hydraulic (knob 0-8); LR = low-range velocity version,-10,80,length A=100.6 mm to rod end without button; A1=110.7 mm incl. button. body_dia = thread OD; max_body_dia = knob dia G. mass 85 g. low range; button model only (B). standard fluid/seals -10..80 C; optional fluids/seals extend to -30..100 C. Energy/hr and 5%-of-rated-energy minimum per catalogue note.,0.08,890,4.5,9.8,11.2,21
"Enidine Adjustable Series Hydraulic Shock Absorbers (A4 metric catalogue, 2008), pp.17-34",OEM Small Bore (Platinum) 0.1M-1.0M,OEM .5M (B),12.7,28.0,32000,,,3500,4.5,M20 x 1.5,20.0,98.6,0.141,adjustable hydraulic (knob 0-8); LR = low-range velocity version,-10,80,length A=98.6 mm to rod end without button; A1=110.5 mm incl. button. body_dia = thread OD; max_body_dia = knob dia G. mass 141 g. button model only (B). standard fluid/seals -10..80 C; optional fluids/seals extend to -30..100 C. Energy/hr and 5%-of-rated-energy minimum per catalogue note.,0.3,670,5.8,12.4,16.0,21
"Enidine Adjustable Series Hydraulic Shock Absorbers (A4 metric catalogue, 2008), pp.17-34",OEM Small Bore (Platinum) 0.1M-1.0M,LROEM .5M (B),12.7,28.0,32000,,,3500,1.3,M20 x 1.5,20.0,98.6,0.141,adjustable hydraulic (knob 0-8); LR = low-range velocity version,-10,80,length A=98.6 mm to rod end without button; A1=110.5 mm incl. button. body_dia = thread OD; max_body_dia = knob dia G. mass 141 g. low range; button model only (B). standard fluid/seals -10..80 C; optional fluids/seals extend to -30..100 C. Energy/hr and 5%-of-rated-energy minimum per catalogue note.,0.08,1120,8.9,17.0,16.0,21
"Enidine Adjustable Series Hydraulic Shock Absorbers (A4 metric catalogue, 2008), pp.17-34",OEM Small Bore (Platinum) 0.1M-1.0M,OEM 1.0M (B),25.0,74.0,70000,,,4400,3.3,M27 x 3.0,27.0,130.0,0.285,adjustable hydraulic (knob 0-8); LR = low-range velocity version,-10,80,length A=130.0 mm to rod end without button; A1=142.7 mm incl. button. body_dia = thread OD; max_body_dia = knob dia G. mass 285 g. button model only (B). standard fluid/seals -10..80 C; optional fluids/seals extend to -30..100 C. Energy/hr and 5%-of-rated-energy minimum per catalogue note.,0.3,1330,13.0,27.0,22.0,21
"Enidine Adjustable Series Hydraulic Shock Absorbers (A4 metric catalogue, 2008), pp.17-34",OEM Small Bore (Platinum) 0.1M-1.0M,OEM 1.0MF (B),25.0,74.0,70000,,,4400,3.3,M25 x 1.5,25.0,130.0,0.285,adjustable hydraulic (knob 0-8); LR = low-range velocity version,-10,80,length A=130.0 mm to rod end without button; A1=142.7 mm incl. button. body_dia = thread OD; max_body_dia = knob dia G. mass 285 g. fine-thread variant; button model only (B). standard fluid/seals -10..80 C; optional fluids/seals extend to -30..100 C. Energy/hr and 5%-of-rated-energy minimum per catalogue note.,0.3,1330,13.0,27.0,22.0,21
