raw,model,price,source,note
AKHG 150-400 HYDRAUIIC BUFFER,AKHG-150-400,78600.0,product_list:market,Hydraulic Buffer
AKHG 150-400 HYDRAUIIC BUFFER,AKHG-150-400,78600.0,product_list:b2b,Hydraulic Buffer
PU BUFFER JHQ-C-18,JHQ-C-18,12500.0,product_list:market,Anti vibration Products
PU BUFFER JHQ-C-18,JHQ-C-18,12500.0,product_list:b2b,Anti vibration Products
SHOCK ABSORBER SCS-50-200 (2101028563),SCS-50-200,65000.0,product_list:market,nan
SHOCK ABSORBER SCS-50-200 (2101028563),SCS-50-200,62500.0,product_list:b2b,nan
SHOCK ABSORBER SCS-50-200 (2101028563),SCS-50-200,62500.0,product_list:jindal,nan
SHOCK ABSORBER MC6450-4 (2100964837),MC6450-4,50000.0,product_list:market,nan
SHOCK ABSORBER MC6450-4 (2100964837),MC6450-4,48500.0,product_list:b2b,nan
SHOCK ABSORBER SCS-64-150 (2101029808),SCS-64-150,85000.0,product_list:market,nan
SHOCK ABSORBER SCS-64-150 (2101029808),SCS-64-150,82500.0,product_list:b2b,nan
Daimond Shaped Anti Vibration Mount 530603,DAIMOND-SHAPED-ANTI-VIBRATION-MOUNT-530603,450.0,product_list:market,Anti vibration Products
Daimond Shaped Anti Vibration Mount 530603,DAIMOND-SHAPED-ANTI-VIBRATION-MOUNT-530603,300.0,product_list:b2b,Anti vibration Products
AWRI48-40-(WR 6-400) 36 X 41,AWRI-48-40-36-X-41,3800.0,product_list:market,Wire rope Isolater
AWRI48-40-(WR 6-400) 36 X 41,AWRI-48-40-36-X-41,3800.0,product_list:b2b,Wire rope Isolater
SPRING BUFFER 750kgs (AT-SB750-03) 100 mm stroke,SPRING-BUFFER-750KGS-100-MM,4000.0,product_list:market,Spring Buffer
SPRING BUFFER 750kgs (AT-SB750-03) 100 mm stroke,SPRING-BUFFER-750KGS-100-MM,24500.0,product_list:b2b,Spring Buffer
SPRING BUFFER 1500kgs (AT-SB1500-03) 100 mm stroke,SPRING-BUFFER-1500KGS-100-MM,40000.0,product_list:market,Spring Buffer
SPRING BUFFER 1500kgs (AT-SB1500-03) 100 mm stroke,SPRING-BUFFER-1500KGS-100-MM,28000.0,product_list:b2b,Spring Buffer
SPRING BUFFER 1500kgs (AT-SB1500-03) 100 mm stroke,SPRING-BUFFER-1500KGS-100-MM,28000.0,product_list:jindal,Spring Buffer
AWRI 127-90-08-C TYPE MOUNTING 8 LOOPS,AWRI-127-90-08,14200.0,product_list:market,Wire rope Isolater
AWRI 127-90-08-C TYPE MOUNTING 8 LOOPS,AWRI-127-90-08,14200.0,product_list:b2b,Wire rope Isolater
AWRI 127-90-06 - CTYPE MOUNTING 6 LOOPS,AWRI-127-90-06,14200.0,product_list:market,Wire rope Isolater
AWRI 127-90-06 - CTYPE MOUNTING 6 LOOPS,AWRI-127-90-06,14200.0,product_list:b2b,Wire rope Isolater
AWRI 127-90-04-C TYPE MOUNTING 4 LOOPS,AWRI-127-90-04,14200.0,product_list:market,Wire rope Isolater
AWRI 127-90-04-C TYPE MOUNTING 4 LOOPS,AWRI-127-90-04,14200.0,product_list:b2b,Wire rope Isolater
AC 45-50-M THREADING M 45 X1.5 STROKE 1.5,AC-45-50,7800.0,product_list:market,Industrial Shock Absorbers
AC 45-50-M THREADING M 45 X1.5 STROKE 1.5,AC-45-50,7800.0,product_list:b2b,Industrial Shock Absorbers
AC -14-12-M thredain M 14 x 1.5 Stroke 12 mm Black Finish,AC-14-12,1320.0,product_list:market,Industrial Shock Absorbers
AC -14-12-M thredain M 14 x 1.5 Stroke 12 mm Black Finish,AC-14-12,1320.0,product_list:b2b,Industrial Shock Absorbers
AC-14-12-F,AC-14-12,1320.0,product_list:market,Industrial Shock Absorbers
AC-14-12-F,AC-14-12,1320.0,product_list:b2b,Industrial Shock Absorbers
AWRI 222-90-08,AWRI-222-90,36000.0,product_list:market,Wire rope Isolater
AWRI 222-90-08,AWRI-222-90,36000.0,product_list:b2b,Wire rope Isolater
AWRI 32-20(30*38),AWRI-32-20,2500.0,product_list:market,Wire rope Isolater
AWRI 32-20(30*38),AWRI-32-20,2500.0,product_list:b2b,Wire rope Isolater
HHSS20 Half Helical Wire rope Isolater,HHSS20-HALF-HELICAL,16500.0,product_list:market,Wire rope Isolater
Anti Vibtration Mount with Bilateral Bolt Dia 20 x 15 x M8,ANTI-VIBTRATION-MOUNT-WITH-BILATERAL-BOLT-DIA-20-X-15-X-M8,450.0,product_list:market,Anti vibration Products
Anti Vibtration Mount with Bilateral Bolt Dia 20 x 15 x M8,ANTI-VIBTRATION-MOUNT-WITH-BILATERAL-BOLT-DIA-20-X-15-X-M8,300.0,product_list:b2b,Anti vibration Products
Anti Vibtration Mount with Bilateral Bolt Dia 12 x 10 x M5,ANTI-VIBTRATION-MOUNT-WITH-BILATERAL-BOLT-DIA-12-X-10-X-M5,450.0,product_list:market,Anti vibration Products
Anti Vibtration Mount with Bilateral Bolt Dia 12 x 10 x M5,ANTI-VIBTRATION-MOUNT-WITH-BILATERAL-BOLT-DIA-12-X-10-X-M5,300.0,product_list:b2b,Anti vibration Products
AWR159-60(109*135)-8 En8 Lugs,AWRI-159-60,16800.0,product_list:market,Wire rope Isolater
AWR159-60(109*135)-8 En8 Lugs,AWRI-159-60,16800.0,product_list:b2b,Wire rope Isolater
AWR159-60(109*135)-6 En8 Lugs,AWRI-159-60,16800.0,product_list:market,Wire rope Isolater
AWR159-60(109*135)-6 En8 Lugs,AWRI-159-60,16800.0,product_list:b2b,Wire rope Isolater
AWR159-60(109*135)-8,AWRI-159-60,16800.0,product_list:market,Wire rope Isolater
AWR159-60(109*135)-8,AWRI-159-60,16800.0,product_list:b2b,Wire rope Isolater
AWR159-60(109*135)-6,AWRI-159-60,16800.0,product_list:market,Wire rope Isolater
AWR159-60(109*135)-6,AWRI-159-60,16800.0,product_list:b2b,Wire rope Isolater
AD 85-125-M+CLEVIS,AD-85-125-M+CLEVIS,40000.0,product_list:market,Industrial Shock Absorbers
AD 85-125-M+CLEVIS,AD-85-125-M+CLEVIS,36500.0,product_list:b2b,Industrial Shock Absorbers
AD 85-125-M  threading M 85 x 2.0 Stroke 125 mm,AD-85-125,40000.0,product_list:market,nan
AD 85-125-M  threading M 85 x 2.0 Stroke 125 mm,AD-85-125,36500.0,product_list:b2b,nan
AD-85-125-M+CLEVIS,AD-85-125-M+CLEVIS,40000.0,product_list:market,nan
AD-85-125-M+CLEVIS,AD-85-125-M+CLEVIS,36500.0,product_list:b2b,nan
AD-85-125-M+CLEVIS,AD-85-125-M+CLEVIS,36500.0,product_list:jindal,nan
Standard cylinder short ZK-18-0370 Diameter: 18mm | Stroke: 370mm Connection: M5 front side | Total length: 485mm,STANDARD-CYLINDER-SHORT-ZK-18-0370-DIAMETER:-18MM-|,46000.0,product_list:market,Linear Motion Products
REPAIR TO MA64100,REPAIR-TO-MA64100,12500.0,product_list:market,nan
REPAIR TO MA64100,REPAIR-TO-MA64100,12500.0,product_list:b2b,nan
AWRI95-60(89*108),AWRI-95-60,10300.0,product_list:market,Wire rope Isolater
AWRI95-60(89*108),AWRI-95-60,10300.0,product_list:b2b,Wire rope Isolater
TSC-50 /TSC 60,TSC-50-/TSC-60,9840.0,product_list:market,Industrial Shock Absorbers
TSC-50 /TSC 60,TSC-50-/TSC-60,9840.0,product_list:b2b,Industrial Shock Absorbers
TSC-25 /TSC 30,TSC-25-/TSC-30,6240.0,product_list:market,Industrial Shock Absorbers
TSC-25 /TSC 30,TSC-25-/TSC-30,6240.0,product_list:b2b,Industrial Shock Absorbers
AWR127-76(108*133),AWRI-127-76,13400.0,product_list:market,Wire rope Isolater
AWR127-76(108*133),AWRI-127-76,13400.0,product_list:b2b,Wire rope Isolater
REPAIRS TO KP 125-800,REPAIRS-TO-KP-125-800,69400.0,product_list:market,Hydraulic Buffer
REPAIRS TO KP 125-800,REPAIRS-TO-KP-125-800,69400.0,product_list:b2b,Hydraulic Buffer
KP 125-800,KP-125-800,69400.0,product_list:market,Hydraulic Buffer
KP 125-800,KP-125-800,69400.0,product_list:b2b,Hydraulic Buffer
TSC-100,TSC-100,13440.0,product_list:market,Industrial Shock Absorbers
TSC-100,TSC-100,13440.0,product_list:b2b,Industrial Shock Absorbers
AWR318-40(216*248),AWRI-318-40,58000.0,product_list:market,Wire rope Isolater
AWR318-40(216*248),AWRI-318-40,58000.0,product_list:b2b,Wire rope Isolater
Vibration Damper GCC16002F000,VIBRATION-DAMPER-GCC16002F000,56043.0,product_list:market,Hydraulic Buffer
Vibration Damper GCC16002F000,VIBRATION-DAMPER-GCC16002F000,5643.0,product_list:b2b,Hydraulic Buffer
Rubber Damper GWP30007F001,RUBBER-DAMPER-GWP30007F001,3413.0,product_list:market,Hydraulic Buffer
Rubber Damper GWP30007F001,RUBBER-DAMPER-GWP30007F001,3413.0,product_list:b2b,Hydraulic Buffer
Foundation Pad GJC16002F003,FOUNDATION-PAD-GJC16002F003,10429.0,product_list:market,Hydraulic Buffer
Foundation Pad GJC16002F003,FOUNDATION-PAD-GJC16002F003,10429.0,product_list:b2b,Hydraulic Buffer
Vibration Damper GVS16002F000,VIBRATION-DAMPER-GVS16002F000,3567.0,product_list:market,Hydraulic Buffer
Vibration Damper GVS16002F000,VIBRATION-DAMPER-GVS16002F000,3567.0,product_list:b2b,Hydraulic Buffer
ZS -40-100  RODLESS CYLINDER BORE 40 MM STROKE 1000 MM  ZS 1400-0000-1000,ZS-40-100-RODLESS-CYLINDER-BORE-40-MM,65000.0,product_list:market,Linear Motion Products
ZS -40-100  RODLESS CYLINDER BORE 40 MM STROKE 1000 MM  ZS 1400-0000-1000,ZS-40-100-RODLESS-CYLINDER-BORE-40-MM,51460.0,product_list:b2b,Linear Motion Products
SB-1204D (Stroke-125) MSB 4,SB-1204D-MSB-4,7650.0,product_list:market,Spring Buffer
SB-1204D (Stroke-125) MSB 4,SB-1204D-MSB-4,7650.0,product_list:b2b,Spring Buffer
SB-1204C (Stroke-100) MSB 3,SB-1204C-MSB-3,4800.0,product_list:market,Spring Buffer
SB-1204C (Stroke-100) MSB 3,SB-1204C-MSB-3,4800.0,product_list:b2b,Spring Buffer
SB-1204B (Stroke-75) MSB 2,SB-1204B-MSB-2,3800.0,product_list:market,Spring Buffer
SB-1204B (Stroke-75) MSB 2,SB-1204B-MSB-2,3800.0,product_list:b2b,Spring Buffer
AC 25-40-1.5,AC-25-40,5184.0,product_list:market,Industrial Shock Absorbers
AC 25-40-1.5,AC-25-40,5184.0,product_list:b2b,Industrial Shock Absorbers
AWRI64-40(54*64),AWRI-64-40,4520.0,product_list:market,Wire rope Isolater
AWRI64-40(54*64),AWRI-64-40,4520.0,product_list:b2b,Wire rope Isolater
EI 50-100 FR FLANGE REAR MODIFIED HEAD DIA 100,EI-50X100,21000.0,product_list:market,Hydraulic Buffer
EI 50-100 FR FLANGE REAR MODIFIED HEAD DIA 100,EI-50X100,22000.0,product_list:b2b,Hydraulic Buffer
Vibsol 45 W,VIBSOL-45-W,30000.0,product_list:market,Anti vibration Products
Vibsol 45 W,VIBSOL-45-W,15500.0,product_list:b2b,Anti vibration Products
AC-8-6F,AC-8-6F,1680.0,product_list:market,Industrial Shock Absorbers
AC-8-6F,AC-8-6F,1680.0,product_list:b2b,Industrial Shock Absorbers
AKHG100-250,AKHG-100-250,42500.0,product_list:market,Hydraulic Buffer
AKHG100-250,AKHG-100-250,42500.0,product_list:b2b,Hydraulic Buffer
AKHG100-200,AKHG-100-200,48000.0,product_list:market,Hydraulic Buffer
AKHG100-200,AKHG-100-200,47000.0,product_list:b2b,Hydraulic Buffer
AKHG100-200,AKHG-100-200,45000.0,product_list:jindal,Hydraulic Buffer
AKHG 85-250,AKHG-85-250,30400.0,product_list:market,Hydraulic Buffer
AKHG 85-250,AKHG-85-250,30400.0,product_list:b2b,Hydraulic Buffer
PU BUFFER JHQ-C-10,JHQ-C-10,3500.0,product_list:market,Anti vibration Products
PU BUFFER JHQ-C-10,JHQ-C-10,3500.0,product_list:b2b,Anti vibration Products
ACWRI 40-10,ACWRI-40-10,3100.0,product_list:market,Wire rope Isolater
ACWRI 40-10,ACWRI-40-10,3100.0,product_list:b2b,Wire rope Isolater
AD 27-25-M THREADING M 25 X 1.5,AD-27-25,5200.0,product_list:market,Industrial Shock Absorbers
AD 27-25-M THREADING M 25 X 1.5,AD-27-25,5200.0,product_list:b2b,Industrial Shock Absorbers
PAULSTRA EVIDGOM (810773)  Shape 2 A-140-B 120- M 16,PAULSTRA-EVIDGOM-SHAPE-2-A-140-B-120-M-16,40000.0,product_list:market,Anti vibration Products
PAULSTRA EVIDGOM (810773)  Shape 2 A-140-B 120- M 16,PAULSTRA-EVIDGOM-SHAPE-2-A-140-B-120-M-16,36250.0,product_list:b2b,Anti vibration Products
AWRI 48-80(51X58),AWRI-48-80,4200.0,product_list:market,Wire rope Isolater
AWRI 48-80(51X58),AWRI-48-80,4200.0,product_list:b2b,Wire rope Isolater
BUFFER ASSLY.FOR BUFFER TYPE-b	MUK3385P,BUFFER-ASSLY.FOR-BUFFER-TYPE-B-MUK3385P,9600.0,product_list:market,Spring Buffer
BUFFER ASSLY.FOR BUFFER TYPE-b	MUK3385P,BUFFER-ASSLY.FOR-BUFFER-TYPE-B-MUK3385P,9600.0,product_list:b2b,Spring Buffer
BUFFER ASSLY.FOR BUFFER TYPE-C	MUK3389P,BUFFER-ASSLY.FOR-BUFFER-TYPE-C-MUK3389P,13600.0,product_list:market,Spring Buffer
BUFFER ASSLY.FOR BUFFER TYPE-C	MUK3389P,BUFFER-ASSLY.FOR-BUFFER-TYPE-C-MUK3389P,13600.0,product_list:b2b,Spring Buffer
SPRING BUFFER	M18035,SPRING-BUFFER-M18035,86933.0,product_list:market,Spring Buffer
SPRING BUFFER	M18035,SPRING-BUFFER-M18035,86933.0,product_list:b2b,Spring Buffer
AC 27-25-M ( M 27 X 3) NON ADJUSTABLE,AC-27-25,4700.0,product_list:market,Industrial Shock Absorbers
AC 27-25-M ( M 27 X 3) NON ADJUSTABLE,AC-27-25,4700.0,product_list:b2b,Industrial Shock Absorbers
Hydraulic Buffer AKHS 130-70,AKHS-130-70,28500.0,product_list:market,Hydraulic Buffer
Hydraulic Buffer AKHS 130-70,AKHS-130-70,28500.0,product_list:b2b,Hydraulic Buffer
PU BUFFER JHQ-C-17,JHQ-C-17,12500.0,product_list:market,Anti vibration Products
PU BUFFER JHQ-C-17,JHQ-C-17,12500.0,product_list:b2b,Anti vibration Products
AC 10-08-F,AC-10-8,1500.0,product_list:market,Industrial Shock Absorbers
AC 10-08-F,AC-10-8,960.0,product_list:b2b,Industrial Shock Absorbers
AKHG 65-50,AKHG-65-50,16500.0,product_list:market,Hydraulic Buffer
AKHG 65-50,AKHG-65-50,16500.0,product_list:b2b,Hydraulic Buffer
AKHG 65-50,AKHG-65-50,13500.0,product_list:jindal,Hydraulic Buffer
AD 45-50-M THREADING M 45 X 1.5 STROKE 50 MM EQUIVALENT TO MA4550,AD-45-50,22500.0,product_list:market,Industrial Shock Absorbers
AD 45-50-M THREADING M 45 X 1.5 STROKE 50 MM EQUIVALENT TO MA4550,AD-45-50,16250.0,product_list:b2b,Industrial Shock Absorbers
AWR159-70(119*152),AWRI-159-70,17000.0,product_list:market,Wire rope Isolater
AWR159-70(119*152),AWRI-159-70,17000.0,product_list:b2b,Wire rope Isolater
AWR159-80(127*165),AWRI-159-80,17200.0,product_list:market,Wire rope Isolater
AWR159-80(127*165),AWRI-159-80,17200.0,product_list:b2b,Wire rope Isolater
AWR159-90(135*178),AWRI-159-90,19200.0,product_list:market,Wire rope Isolater
AWR159-90(135*178),AWRI-159-90,19200.0,product_list:b2b,Wire rope Isolater
AWR222-20(133*140),AWRI-222-20,26000.0,product_list:market,Wire rope Isolater
AWR222-20(133*140),AWRI-222-20,26000.0,product_list:b2b,Wire rope Isolater
AWR222-40(152*165),AWRI-222-40,26500.0,product_list:market,Wire rope Isolater
